path,class,class_target,freq,band
cross_01_freq_reflect_v2_c2e4edb4-907c-11ef-9c11-047c16a08772_0-381_75-78.png,cross,cross,0,75-78
circ_01_freq_reflect_v2_af7ecf76-907c-11ef-9b46-047c16a08772_0-1531_75-78.png,circ,circ,0,75-78
circ_01_freq_reflect_v2_af7ecf76-907c-11ef-9b46-047c16a08772_0-2324_75-78.png,circ,circ,0,75-78
cross_01_freq_reflect_v2_3c8ce4b5-a1b5-11ef-bb20-70d8c2032a38_0-1063_75-78.png,cross,cross,0,75-78
cross_01_freq_reflect_v2_fe56d1a8-9681-11ef-a934-047c16a08772_0-119_75-78.png,cross,cross,0,75-78
cross_01_freq_reflect_v2_c2e4edb4-907c-11ef-9c11-047c16a08772_0-434_75-78.png,cross,cross,0,75-78
cross_01_freq_reflect_v2_c2e4edb4-907c-11ef-9c11-047c16a08772_0-126_75-78.png,cross,cross,0,75-78
cross_01_freq_reflect_v2_c2e4edb4-907c-11ef-9c11-047c16a08772_0-600_75-78.png,cross,cross,0,75-78
circ_01_freq_reflect_v2_af7ecf76-907c-11ef-9b46-047c16a08772_0-472_75-78.png,circ,circ,0,75-78
circ_01_freq_reflect_v2_af7ecf76-907c-11ef-9b46-047c16a08772_0-1736_75-78.png,circ,circ,0,75-78
circ_01_freq_reflect_v2_af7ecf76-907c-11ef-9b46-047c16a08772_0-1244_75-78.png,circ,circ,0,75-78
circ_01_freq_reflect_v2_af7ecf76-907c-11ef-9b46-047c16a08772_0-1192_75-78.png,circ,circ,0,75-78
circ_01_freq_reflect_v2_af7ecf76-907c-11ef-9b46-047c16a08772_0-380_75-78.png,circ,circ,0,75-78
circ_01_freq_reflect_v2_af7ecf76-907c-11ef-9b46-047c16a08772_0-1542_75-78.png,circ,circ,0,75-78
circ_01_freq_reflect_v2_af7ecf76-907c-11ef-9b46-047c16a08772_0-2873_75-78.png,circ,circ,0,75-78
circ_01_freq_reflect_v2_af7ecf76-907c-11ef-9b46-047c16a08772_0-480_75-78.png,circ,circ,0,75-78
cross_01_freq_reflect_v2_3c8ce4b5-a1b5-11ef-bb20-70d8c2032a38_0-764_75-78.png,cross,cross,0,75-78
cross_01_freq_reflect_v2_c2e4edb4-907c-11ef-9c11-047c16a08772_0-1407_75-78.png,cross,cross,0,75-78
circ_01_freq_reflect_v2_af7ecf76-907c-11ef-9b46-047c16a08772_0-2721_75-78.png,circ,circ,0,75-78
cross_01_freq_reflect_v2_c2e4edb4-907c-11ef-9c11-047c16a08772_0-7_75-78.png,cross,cross,0,75-78
